OID_,Id,gridcode,Shape_Length,area,Shape_Area
60,164097,70,20.000000000000000,269,25.000000000000000
61,164098,40,47.710301191511043,1203,111.790618121269702
62,164187,30,20.000000000000000,269,25.000000000000000
63,164188,20,18.748986063792756,172,16.009500001091510
64,164261,70,18.864778369438554,184,17.117382239529391
65,164262,70,19.666583393547629,128,11.935952336994923
66,164329,30,18.748986063792756,172,16.009500001091510
67,164736,70,34.670715908557796,534,49.585154576882587
68,164876,70,28.934903282940766,262,24.317026098939017
69,165828,30,2.919704137003761,3,0.285713449790857
70,166119,70,106.211727189334383,2466,229.065516140953576
71,166532,20,35.361576643193033,631,58.665254057669223
72,166533,30,18.748986063792756,172,16.009500001091510
73,166603,70,22.381826327102313,237,22.019445183785990
74,166746,30,46.208230887712702,994,92.367649116307234
75,166907,70,20.000000000000000,269,25.000000000000000
76,166908,30,18.864778369438554,184,17.117382239529391
77,166972,30,18.748986062057647,172,16.009499998763204
78,167096,70,49.013269585786283,731,67.893843277099734
79,167098,40,20.003064818766266,105,9.800363790904774
80,167178,40,18.748986062057647,172,16.009499998763204
81,167179,40,20.000000000000000,269,25.000000000000000
82,167254,40,18.748986062057647,172,16.009499998763204
83,167255,30,18.864778369438554,184,17.117382239529391
84,167331,30,18.864778370932189,184,17.117304962671689
85,167332,30,18.864778369438554,184,17.117382239529391
86,167381,30,16.367528612356704,156,14.523440723653806
87,167382,30,20.125704742105981,232,21.586485197829823
88,167505,30,28.370005636533890,363,33.749832187901610
89,167506,30,13.175079207153122,85,7.865835224604281
90,167566,40,12.122135065320020,71,6.601915801063349
91,167567,30,18.864778369438554,184,17.117382239529391
92,167827,30,16.986920929259146,161,14.994514675035070
93,167828,30,18.864778369438554,184,17.117382239529391
94,167896,30,18.464097598052025,183,17.045686901498488
95,167971,30,18.864778369438554,184,17.117382239529391
96,168041,70,9.872418042033262,26,2.448696260488845
97,168101,70,28.294314689321507,367,34.136544566497022
98,168173,30,18.864778369438554,184,17.117382239529391
99,168256,70,18.864778369438554,184,17.117382239529391
100,168319,40,34.693586555785572,575,53.385811163214207
101,168320,30,28.398732167032264,366,33.959668296444725
102,168931,40,1750.285191229873590,225196,20921.444815645481867
103,169922,70,55.692999820560864,706,65.570036842265026
104,170442,70,1473.678440407488097,140591,13061.341657812419726
105,170527,20,34.501571542848680,655,60.886844643989306
106,170665,20,35.855024430391623,632,58.709499998949468
107,170894,30,18.748986063792756,172,16.009500001091510
108,170969,20,27.166101676615238,375,34.881500001065433
109,171047,20,28.294314689321507,367,34.136544566497022
110,171120,20,28.294314689321503,367,34.136544566497022
111,171269,30,18.748986062057647,172,16.009499998763204
112,171347,20,18.748986062057647,172,16.009499998763204
113,172097,20,18.962913483256582,248,22.994784685211940
114,172098,70,6.707932589952286,11,1.067183165376733
115,172338,70,34.449740327199109,519,48.186083912361084
116,175109,70,509.512682300742085,36738,3413.061390638147259
117,179226,40,480.092728642436498,48051,4464.127653807066054
118,317607,20,9093.506090745362599,869005,80733.495687753151287
