OID_,Id,gridcode,Shape_Length,Shape_Area,area
71,133305,20,15.816616048738018,3.231126769952869,35
72,133306,20,280.111358635187003,980.126872256406273,10550
73,133307,30,20.000000000000000,25.000000000000000,269
74,133413,30,18.864778369438554,17.117382239529391,184
75,133415,20,163.369073637039037,631.713640717997805,6800
76,133417,20,68.514796979008082,138.571387813065343,1492
77,133418,40,58.620935316600573,90.199559122283162,971
78,133419,40,18.748986062057647,16.009499998763204,172
79,133525,30,18.864778369438554,17.117382239529391,184
80,133526,70,783.800248307857942,3518.074596320639102,37868
81,133528,20,35.311223542862777,39.718500003218651,428
82,133529,70,56.536692378267716,207.300166918230190,2231
83,133719,70,62.484233512488082,24.622072257455311,265
84,133721,20,116.814751777104419,492.445141532259754,5301
85,133820,70,72.285418862036309,112.408633907771375,1210
86,133823,70,62.632308614049322,235.332889781731552,2533
87,133926,20,35.319901622060144,57.918764567616186,623
88,134122,20,12.517265927203274,6.964035044619374,75
89,134123,70,144.591607519706230,511.377933200153848,5504
90,134218,40,154.560489444625858,945.945411273846503,10182
91,134304,40,35.319920760224811,57.918044595245128,623
92,134306,30,27.166101676615238,34.881500001065433,375
93,134307,70,94.866550421433232,457.133972151666057,4921
94,134308,20,20.000000000000000,25.000000000000000,269
95,134392,40,37.553817168644308,55.901386867133965,602
96,134395,30,20.448603669187904,22.398044144736499,241
97,134396,20,59.851436583995365,190.758999995887280,2053
98,134397,30,30.000000000000000,50.000000000000000,538
99,134398,20,18.748986063792756,16.009500001091510,172
100,134510,70,30.000000000000000,50.000000000000000,538
101,134511,20,76.547817655835217,355.599421147235773,3828
102,134513,20,64.029527297418895,136.189436939552422,1466
103,134514,40,50.595813697245148,145.269811697037028,1564
104,134611,70,20.000000000000000,25.000000000000000,269
105,134612,30,20.000000000000000,25.000000000000000,269
106,134711,40,50.626577462552575,141.297112593762080,1521
107,134712,20,60.041945220214970,169.484454049039869,1824
108,134809,40,18.490324713609343,17.053005942867060,184
109,134814,20,145.563753446942030,892.552518100650218,9607
110,134815,40,422.315106893376594,2085.313025524058048,22446
111,134916,40,345.318232318916500,1116.034717416793001,12013
112,134919,20,18.864778369438554,17.117382239529391,184
113,135021,40,35.701822132316856,73.479827972735166,791
114,135127,40,53.594462551574665,126.510619541246086,1362
115,135232,70,548.028410876087037,3380.994629590607019,36393
116,135235,30,18.748986062057647,16.009499998763204,172
117,135350,70,20.000000000000000,25.000000000000000,269
118,135351,40,22.650156040412469,23.347928739546312,251
119,135352,20,20.000000000000000,25.000000000000000,269
120,135353,40,36.608808302547374,51.161000321378431,551
121,135449,20,20.000000000000000,25.000000000000000,269
122,135540,70,1335.658913163922534,5707.593755331068678,61436
123,135541,30,18.864778369438554,17.117382239529391,184
124,135542,30,27.166101675101281,34.881499996408820,375
125,135543,30,7.831838377454709,2.147904400514974,23
126,135628,30,20.000000000000000,25.000000000000000,269
127,135629,20,20.000000000000000,25.000000000000000,269
128,135713,30,47.673455100411410,138.955065926160557,1496
129,135714,20,119.676999687778249,274.265149479390061,2952
130,135815,70,62.820706053429589,229.929211153117706,2475
131,135816,30,18.748986063792756,16.009500001091510,172
132,135817,20,28.800527998905181,35.993999999482185,387
133,135818,20,30.000000000000000,50.000000000000000,538
134,135819,70,20.000000000000000,25.000000000000000,269
135,135924,70,54.250127408419281,162.263810846094572,1747
136,135925,30,18.748986062057647,16.009499998763204,172
137,136023,30,12.059868043275046,4.922250001691282,53
138,136024,20,28.560325274845528,26.838377840339039,289
139,136025,30,35.362601996804415,58.668496127194231,631
140,136026,40,44.433152886832218,81.113245804352275,873
141,136121,20,43.474546061638549,99.651466015398228,1073
142,136214,40,85.403609060073677,409.053483392682892,4403
143,136215,30,18.748986062271058,16.009421058039450,172
144,136216,70,20.000000000000000,25.000000000000000,269
145,136217,70,112.083526230232280,558.404357841292381,6011
146,136309,30,20.000000000000000,25.000000000000000,269
147,136311,70,210.539160115782067,578.613383792744912,6228
148,136312,70,15.751294795190727,10.557750000152737,114
149,136420,20,30.000000000000000,50.000000000000000,538
150,136421,20,20.000000000000000,25.000000000000000,269
151,136422,40,193.391913798548018,873.514213084372386,9402
152,136517,40,30.000000000000000,50.000000000000000,538
153,136518,20,20.000000000000000,25.000000000000000,269
154,136519,70,28.629423839651217,18.831309500337134,203
155,136520,70,27.798304326088591,26.189938562218757,282
