"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1284",-602.648193822536
"1285",-34082
"1286",-32932.5057246958
"1287",-19252
"1288",-3591
"1289",-97.3078258258435
"1290",-114.578590403785
"1291",-114.607272188305
"1292",-99.7917854144259
"1293",-4323
"1294",-627.086542926118
"1295",-575
"1296",-337.99561072352
"1297",-108500
"1298",-30061
"1299",-2251
"1300",-1977.87123185007
"1301",-172.173374449415
"1302",-322.244835815446
"1303",-216.723339692992
"1304",-5772.921960903
"1305",-6944
"1306",-684
"1307",-638.704061750143
"1308",-780
"1309",-501.003813426379
"1310",-137.726211686516
"1311",-557
"1312",-324.556970704769
"1313",-67562
"1314",-301.735437453315
"1315",-172.335522652236
"1316",-995
"1317",-113.598052852423
"1318",-115.268490691481
"1319",-111.88179299487
"1320",-114.578642005988
"1321",-114.607327766688
"1322",-113.366873547493
"1323",-114.607322679381
"1324",-114.6072921586
"1325",-60.5015290378938
"1326",-114.60728339193
"1327",-113.104400917507
"1328",-115.268458440084
"1329",-114.578580082994
"1330",-114.578574922787
"1331",-21644
"1332",-112.357383011822
"1333",-114.578538800151
"1334",-115.268435218078
"1335",-112.620404252722
"1336",-114.607216743071
"1337",-112.144223408518
"1338",-100.083459225678
"1339",-103.670473764535
"1340",-114.578518157336
"1341",-2735
"1342",-52998
"1343",-17541.5536501513
"1344",-3993.94874851955
"1345",-115.268446829311
"1346",-114.607247267734
"1347",-111.208162935031
"1348",-111.208162935031
"1349",-115.26844166717
"1350",-114.607237088335
"1351",-112.357383011822
"1352",-4182
"1353",-115.268424896
"1354",-6545
"1355",-46265
"1356",-80450
"1357",-20916
"1358",-115.26842102546
"1359",-114.578512996956
"1360",-115.268423607465
"1361",-43455.4827346788
"1362",-1202.49538548079
"1363",-13084.6819845142
"1364",-15928.4953532312
"1365",-13781.9351886484
"1366",-2347.91843007875
"1367",-5520.82560143896
"1368",-2758.49536613104
"1369",-478.455624067137
"1370",-34080.9906557088
"1371",-32731.9917512368
"1372",-19247.7799056558
"1373",-3590.49538096664
"1374",-87.9825720720986
"1375",-113.888718939011
"1376",-113.931741615791
"1377",-91.7085114549721
"1378",-4310.75560661983
"1379",-623.282592166955
"1380",-574.495384190303
"1381",-333.05591608528
"1382",-108498.990707312
"1383",-30007.5436065002
"1384",-2249.9907730997
"1385",-1874.27768110844
"1386",-113.060061674123
"1387",-314.471420389836
"1388",-189.464176206154
"1389",-5739.3829413545
"1390",-6918.93421112967
"1391",-682.478555363218
"1392",-573.881092625214
"1393",-778.99357547783
