"","site","year","storage","treated_20","treated_30","treated_70","treated_40","total_basin_area","total_basin_20","total_basin_30","total_basin_40","total_basin_70","percent_20_treated","untreated_20","percent_30_treated","untreated_30","percent_40_treated","untreated_40","untreated_70","percent_70_treated"
"12","cr","2011",0,553476.729721343,293053.819281345,176321.678478472,50056.7635115755,33453008.3604014,13173966.5659715,7697050.44142993,4476221.82918962,8105769.52381032,4.20129144058237,12620489.8362502,3.80735219953817,7143573.71170859,1.11828156471499,3922745.09946828,7552292.79408898,2.17526143521026
"13","cr","2010",0,791422.347893684,5992.36703206659,202086.429405099,73407.8466616648,33453008.3604084,17626939.1933139,309435.569815174,5815707.25948186,9700926.33779755,4.48984556657392,16835516.8454202,1.93654757778682,-481986.77807851,1.26223421135893,5024284.91158818,8909503.98990387,2.08316631183677
"14","sb","2019",0,20079.4087187315,737.412560160505,3406.02684983017,15.1886915706564,36455509.7500174,1573663.64545729,952334.297578166,31229332.5610286,2700179.24595336,1.27596572346924,1553584.23673856,0.0774321120257647,932254.888859435,0.0000486359788220722,31209253.1523099,2680099.83723463,0.126140768429897
"15","sb","2018",0,20746.6100216155,134.327131602913,3170.910015737,186.189651312947,36455509.7499936,2729038.97992424,37396.3938995639,31130443.1583548,2558631.21781501,0.760216698047731,2708292.36990262,0.359198087290656,16649.7838779483,0.000598095087711519,31109696.5483332,2537884.60779339,0.123929935414642
"16","sb","2017",0,18029.8103334819,895.411876156926,5312.81461061479,NA,36455509.7499955,941566.945357407,190355.455336883,30754847.2811745,4568740.06812675,1.91487290652902,923537.135023925,0.470389395760822,172325.645003401,NA,30736817.470841,4550710.25779327,0.116286208700709
"17","sb","2016",0,18906.9223164255,313.356830844423,5017.75767295167,NA,36455509.7500064,841794.061035707,75220.3249645919,30524897.845289,5013597.51871708,2.24602705003208,822887.138719282,0.41658531918325,56313.4026481664,NA,30505990.9229726,4994690.59640065,0.100082977427268
"18","sb","2015",0,17487.595184383,1202.5677029783,5353.07165978531,194.802273078647,36455509.7500093,857114.013266323,220959.71718956,30902900.0383068,4474535.98124664,2.04028809629895,839626.41808194,0.54424748468818,203472.122005177,0.000630368906598322,30885412.4431224,4457048.38606226,0.119634118090026
"19","sb","2014",0,14520.4916408843,2750.97414902985,1359.71340345844,NA,36455509.7499974,1124462.30726578,1783931.46476133,30345263.3146833,3201852.66328704,1.29132755691847,1109941.8156249,0.154208510997809,1769410.97312045,NA,30330742.8230424,3187332.17164616,0.0424664575934155
"20","sb","2013",0,17491.8795829431,251.645399257541,887.654211186513,NA,36455509.7500116,1314472.9076932,1394683.50670478,29916686.8347401,3829666.50087354,1.33071434797694,1296981.02811026,0.0180431903043081,1377191.62712184,NA,29899194.9551572,3812174.6212906,0.0231783684293147
"21","sb","2012",0,15097.3602656268,572.396091153321,2961.42283663899,NA,36455509.750019,685047.572464109,5561.28028324712,30776582.9552645,4988317.94200709,2.20384114512248,669950.212198482,10.2925236995808,-9536.07998237968,NA,30761485.5949989,4973220.58174146,0.0593671628606623
"22","sb","2011",0,13160.7925447943,5050.05949600693,420.327152586542,NA,36455509.7500051,437291.357964362,2195679.54138707,30403320.1997095,3419218.65094417,3.00961642737674,424130.565419568,0.22999984291044,2182518.74884228,NA,30390159.4071647,3406057.85839938,0.0122930761526606
"23","sb","2010",0,17933.3599404884,NA,697.819252910846,NA,36455509.7500107,1052714.87753184,39575.1803369466,30727057.0837542,4636162.60838776,1.70353438744347,1034781.51759135,NA,21641.8203964582,NA,30709123.7238137,4618229.24844727,0.0150516561185397
"24","tr104","2019",0,1932548.06785984,55926.8850749422,467771.916773775,42226.7808150392,12447556.8145626,5787290.04834515,168095.48702686,3377855.98969344,3114315.28949712,33.3929706601182,3854741.98048531,33.2709021902567,-1764452.58083298,1.25010601233096,1445307.9218336,1181767.22163728,15.0200565225786
"25","tr104","2018",0,2172014.63706338,18835.2406046378,267271.362478129,39995.674167204,12447556.8145564,7502970.11152553,53931.5014375592,3183000.250192,1707654.95140135,28.9487310328864,5330955.47446215,34.9243764823512,-2118083.13562582,1.25654008870378,1010985.61312862,-464359.685662033,15.6513681091604
"26","tr104","2017",0,1535365.90310993,507629.341794694,427514.549178012,27607.1202308643,12447556.8145602,4988017.49015812,1506426.39634875,2731437.14078473,3221675.78726862,30.781084992973,3452651.58704819,33.6975867539945,-28939.5067611774,1.01071775801265,1196071.2376748,1686309.88415869,13.2699432657829
