"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"378",-67738.728264323
"379",447.598781646825
"380",7876.47583523377
"381",-994.231582740681
"382",-90.7848381344829
"383",-107.698837544255
"384",-76.1966293452846
"385",-99.1198459397841
"386",-99.3636749057327
"387",-88.8198140425773
"388",-99.3636316636308
"389",-99.3633722369849
"390",360.535614289014
"391",-99.3632977202918
"392",-86.5887966877005
"393",-107.698563407384
"394",-99.1193195943366
"395",-99.1192757325777
"396",-21645.1598596005
"397",-80.2391444893774
"398",-99.1189686901723
"399",-107.698366020326
"400",-82.4748250370297
"401",-99.3627312049963
"402",-78.4272878612914
"403",24.08920769285
"404",-6.40041588743319
"405",-99.1187932262487
"406",-2737.04654737552
"407",-52504.3961175946
"408",-15859.967137397
"409",-3612.06991797176
"410",-107.698464715808
"411",-99.3629906646266
"412",-70.4707738366485
"413",-70.4707738366485
"414",-107.69842083761
"415",-99.3629041397334
"416",-80.2391444893774
"417",-4182.51511348054
"418",-107.698278282665
"419",-6557.62969652198
"420",-45944.7750488816
"421",-80667.9211858083
"422",-20968.5492163585
"423",-107.69824538308
"424",-99.1187493630121
"425",-107.698267330122
"426",-41941.7519157986
"427",-1202.61873006435
"428",-13089.500801396
"429",-15970.2193416096
"430",-13763.2732174115
"431",-2303.03526824176
"432",-4037.7956762597
"433",-2763.63608567512
"434",1675.01806177464
"435",-34170.6161564747
"436",-30053.737802514
"437",-19280.1572117124
"438",-3597.94728579987
"439",76.2967417415646
"440",-96.4109040378489
"441",-96.6977218830544
"442",51.4571458557414
"443",-4138.15379906321
"444",-558.615429261182
"445",-572.89379491717
"446",-231.831107235203
"447",-108795.33313276
"448",-29409.3860188923
"449",-2249.37637895133
"450",-4.83731850071035
"451",906.266255505849
"452",-165.573358154462
"453",287.391603070084
"454",-5169.21960902996
"455",-6539.12866703785
"456",-663.07110726436
"457",566.209382498575
"458",-770.70484288993
"459",-461.427023152676
"460",1250.73788313484
"461",-532.431056848582
"462",-298.069707047691
"463",-67743.7027906408
"464",596.145625466853
"465",9482.14477347764
"466",-995.48162613748
"467",-86.6055285242283
"468",-106.504351359254
"469",-69.4429299487008
"470",-96.4114200598767
"471",-96.698277666875
"472",-84.2937354749275
"473",-96.698226793814
"474",-96.6979215859953
"475",444.359709621062
"476",-96.6978339192975
"477",-81.6690091750725
"478",-106.504028845289
"479",-96.4108008299385
"480",-96.4107492278692
"481",-21602.9253250202
"482",-74.1988301182217
"483",-96.4103880015098
"484",-106.50379662522
"485",-76.8290425272244
"486",-96.6971674307146
"487",-72.0672340851795
"488",48.5404077432222
"489",12.6702623546538
"490",-96.4101815733645
"491",-2739.56958139675
"492",-52460.5885697191
"493",-15582.0365015128
"494",-3548.98748519553
"495",-106.503912737552
"496",-96.6974726773384
"497",-62.7066293503054
"498",-62.7066293503054
"499",-106.503861116142
"500",-96.6973708833464
"501",-74.1988301182217
"502",-4187.56127401969
"503",-106.503693404442
"504",-6560.15281426452
"505",-45926.0629660045
"506",-80670.4443841783
"507",-20971.0722998319
"508",-106.503654699048
"509",-96.4101299695567
"510",-106.503680519097
"511",-41728.2195642795
"512",-1203.31397955139
"513",-13097.918977161
"514",-15968.7054013033
"515",-13768.3926722455
"516",-2297.32389181135
"517",-3794.66294436532
"518",-2762.12218406824
"519",2052.28465992972
"520",-34167.588123601
"521",-29650.09361178
"522",-19267.4969286797
"523",-3596.4334286998
"524",104.911391891688
"525",-93.7024007546374
"526",-94.0322412766236
"527",76.3458566229915
"528",-4113.42895225603
"529",-548.942465872582
"530",-572.977169710301
"531",-215.095356653817
"532",-108792.305254695
"533",-29332.5196161706
"534",-2251.19741637597
"535",317.982222613072
"536",1085.20619383173
"537",-140.392000766521
"538",370.663537975041
"539",-5084.60255038446
"540",-6483.22018931575
"541",-660.406773354014
"542",764.911623206694
"543",-769.852235990086
"544",-455.9882988478
"545",1481.34856560506
"546",-529.132520931425
"547",-294.405163104845
"548",-67740.7180748501
"549",744.692469286881
"550",11087.8137117215
"551",-993.967780645391
"552",-82.4262189139736
"553",-105.309865174253
"554",-62.689230552117
"555",-93.7029941799694
"556",-94.0328804280174
"557",-79.7676569072778
"558",-94.0328219239973
"559",-94.0324709350057
"560",528.18380495311
"561",-94.0323701183032
"562",-76.7492216624445
"563",-105.309494283193
"564",-93.7022820655404
"565",-93.7022227231607
"566",-21619.6531530616
"567",-68.1585157470661
"568",-93.7018073128474
"569",-105.309227230114
"570",-71.1832600174192
"571",-94.0316036564329
"572",-65.7071803090675
"573",72.9916077935944
"574",31.7409405967407
"575",-93.7015699204803
"576",-2738.05576098401
"577",-52416.7810218436
"578",-15304.1058656286
"579",-3485.9050524193
"580",-105.309360759296
"581",-94.0319546900503
"582",-54.9424848639624
"583",-54.9424848639624
"584",-105.309301394674
"585",-94.0318376269595
"586",-68.1585157470661
"587",-4184.5335776962
"588",-105.309108526219
"589",-6558.638943619
"590",-45907.3508831274
"591",-80668.9304651563
"592",-20969.5584497479
