"","year","site_name","updated_gridcode","total_area","area_whole_basin","percent_lulc"
"171",2018,"sb","40",31130443.1583548,36455509.7499936,85.3929717945043
"172",2018,"sb","70",2558631.21781501,36455509.7499936,7.01850347275821
"173",2018,"tr104","20",7502970.11152553,12447556.8145564,60.2766488500892
"174",2018,"tr104","30",53931.5014375592,12447556.8145564,0.433269775274217
"175",2018,"tr104","40",3183000.250192,12447556.8145564,25.571285173567
"176",2018,"tr104","70",1707654.95140135,12447556.8145564,13.7187962010696
"177",2018,"tr109","20",6697906.33903143,9321767.87622815,71.8523184439301
"178",2018,"tr109","30",482655.159693315,9321767.87622815,5.17772128744114
"179",2018,"tr109","40",1251301.09677251,9321767.87622815,13.4234311923118
"180",2018,"tr109","70",889905.280730895,9321767.87622815,9.54652907631696
"181",2019,"cb","20",6919133.14917607,22228468.021715,31.1273504877474
"182",2019,"cb","30",3532228.50683463,22228468.021715,15.8905620638544
"183",2019,"cb","40",7643410.75315109,22228468.021715,34.3856839152579
"184",2019,"cb","70",4133695.61255317,22228468.021715,18.5964035331403
"185",2019,"cr","20",19582485.1193068,33453008.3603996,58.537291798509
"186",2019,"cr","30",1750562.51847371,33453008.3603996,5.23290013147505
"187",2019,"cr","40",5379667.06336928,33453008.3603996,16.0812654138978
"188",2019,"cr","70",6740293.65924988,33453008.3603996,20.1485426561181
"189",2019,"sb","20",1573663.64545729,36455509.7500174,4.31666888283338
"190",2019,"sb","30",952334.297578166,36455509.7500174,2.61231924641435
"191",2019,"sb","40",31229332.5610286,36455509.7500174,85.6642323071993
"192",2019,"sb","70",2700179.24595336,36455509.7500174,7.40677956355299
"193",2019,"tr104","20",5787290.04834515,12447556.8145626,46.4933812679973
"194",2019,"tr104","30",168095.48702686,12447556.8145626,1.35042956245199
"195",2019,"tr104","40",3377855.98969344,12447556.8145626,27.1366987113619
"196",2019,"tr104","70",3114315.28949712,12447556.8145626,25.0194904581889
"197",2019,"tr109","20",5998039.70824111,9321767.87623893,64.3444439710845
"198",2019,"tr109","30",174759.415384677,9321767.87623893,1.87474540993599
"199",2019,"tr109","40",1389300.92421897,9321767.87623893,14.9038352237914
"200",2019,"tr109","70",1759667.82839417,9321767.87623893,18.8769753951881
