"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"590",-400.09255287429
"591",-603.675737274873
"592",-937.092521781504
"593",-298.470294947835
"594",-112.997224585799
"595",-1070.48852099897
"596",-487.343366131274
"597",-456.761959774221
"598",-145.413580513752
"599",-78.4122085429231
"600",-684.392511674888
"601",-459.331815121391
"602",-710.977143033105
"603",-841.323904476572
"604",-506.41046027695
"605",47.7186972853262
"606",72.2174272163927
"607",-8.91982095181011
"608",-14.1867007415555
"609",-10.2915340466425
"610",-15.151576782229
"611",-16.1322644925428
"612",-9.80499948451916
"613",4.03309342011809
"614",-7.653357116431
"615",-15.1228494983601
"616",-16.1322348157316
"617",-15.1285716674477
"618",-4.65244042938575
"619",-16.1322434813778
"620",-16.1322446346407
"621",-6.56209907798562
"622",-6.08622594080865
"623",13.8520503574113
"624",-15.1514761094252
"625",39.2324397388846
"626",481.265728439006
"627",-3648.74204303231
"628",231.25294587511
"629",-882.043499072473
"630",-962.161965579567
"631",-484.860411273999
"632",-10445.5560820237
"633",-8391.7425046021
"634",-17460.6256244225
"635",-1201.34474282036
"636",-1202.82861571292
"637",-291.511956322864
"638",-3005.41552076024
"639",-962.161952918665
"640",-15.1514775725578
"641",-7.75095602750206
"642",-15.1227901443342
"643",-6.25389000326395
"644",-5.77147817836453
"645",25.0786461026408
"646",-4.63309209595745
"647",-9.58581989487012
"648",-6.20436031060293
"649",-5.29754412525333
"650",-0.379143232739854
"651",-42032.9780782814
"652",-9492.62200941255
"653",-8381.54459514491
"654",-9315.49002286241
"655",-5042.2563154076
"656",-13805.9380902494
"657",-9.24672713052482
"658",-9.80493476758401
"659",-2.63266444322964
"660",-10.6808910406683
"661",-14.1421347314771
"662",-14.1421347314771
"663",-8.20679448725656
"664",-13.0336478601893
"665",-13.177253981481
"666",491.282535440102
"667",-7.75128010985273
"668",470.441107193207
"669",-15.128604497686
"670",-10.6808910401031
"671",-296.513555407555
"672",-780.645020093732
"673",-720.990587544112
"674",-327.782477874762
"675",-480.506822264641
"676",-141.856215887496
"677",-774.815548719813
"678",-961.660147161142
"679",-335.773936297397
"680",-701.439737146768
"681",-841.323918295469
"682",-14.0983890816321
"683",-16.1322662664019
"684",-4.13716846397767
"685",14.8678028444449
"686",-2.14465795860936
"687",-3.82177512980997
"688",-16.13227142501
"689",-9.03069751041631
"690",-12.1649783765525
"691",-15.1228469174293
"692",18.7337049474319
"693",-95.9697272269729
"694",-100.050859871304
"695",-13867.421638629
"696",-97.7125526127012
"697",-88.9453238467966
"698",-7213.82174941682
"699",-4026.65870633877
"700",-3425.98700514652
"701",-4726.88322704754
"702",-767.331202871054
"703",-657.190275812149
"704",-409.478874126772
"705",-360.977848607435
"706",-11064.6434130611
"707",-901.490635283108
"708",-676.370315686359
"709",-500.884222637184
"710",-18173.2721558889
"711",-3347.89336843087
"712",-10073.9029940776
"713",-7746.93451880091
"714",-432.53109151086
"715",-10093.4564455041
"716",-812.220417136625
"717",-805.62911020382
"718",-9922.48243803234
"719",-8576.60877354771
"720",-381.863277007312
"721",-586.120315281302
"722",-180421.198850282
"723",-7163.32571184493
"724",-637.292081179651
"725",-638.264790840035
"726",-1915.80366256663
"727",-2276.79771482162
"728",-1332.64249627189
"729",-745.561992269158
"730",-1563.564017842
"731",-1765.89943548593
"732",-846.84254330937
"733",-1988.03005935389
"734",-1450.80704119151
"735",-1518.19897764604
"736",-1497.64532237714
"737",-1619.98421062098
"738",-1607.71184715738
"739",-1624.99810273613
"740",-886.953665791927
"741",-631.174414692447
"742",-2083.00867648173
"743",-1472.53745940636
"744",-1835.23837794343
"745",-1116.69775965641
"746",-1539.01844901091
"747",-1810.49380196135
"748",-1966.94533116872
"749",-1676.23287111854
"750",-49527.984529867
"751",-14733.8072800164
"752",-3505.99994383379
"753",-14837.5980554012
"754",-14347.2255420081
"755",-5584.46283299158
"756",-7477.96009848521
"757",-6431.91981202741
"758",-6722.15750036681
"759",-5523.91025187348
"760",-4521.5551015724
"761",-393.410452007953
"762",-796.703640633971
"763",-401.306441763179
"764",-605.386848385984
"765",-937.092521781504
"766",-298.470294947835
"767",-113.325002363577
"768",-1070.48852099897
"769",-487.343366131274
"770",-456.761959774221
"771",-146.560802735974
"772",-79.3844307651453
"773",-684.392511674888
"774",-459.331815121391
"775",-710.977143033105
"776",-841.323904476572
"777",-506.41046027695
"778",47.671475063104
"779",72.1702049941704
"780",-8.96704317403233
"781",-14.2339229637778
"782",-10.3387562688647
"783",-15.1987990044513
"784",-16.179486714765
"785",-9.85222170674139
"786",3.98587119789587
"787",-7.70057933865322
"788",-15.1700717205823
"789",-16.1794570379539
"790",-15.1757938896699
"791",-4.69966265160797
"792",-16.1794657036
"793",-16.1794668568629
"794",-6.60932130020784
"795",-6.13344816303088
"796",13.8048281351891
"797",-15.1986983316474
"798",39.1852175166623
"799",481.218506216784
"800",-3648.74204303231
"801",231.205723652887
"802",-884.543499072473
"803",-962.161965579567
"804",-486.860411273999
"805",-10445.5560820237
"806",-8391.7425046021
"807",-17460.6256244225
"808",-1201.34474282036
"809",-1202.82861571292
"810",-292.345289656197
"811",-3005.41552076024
"812",-962.161952918665
"813",-15.19869979478
"814",-7.79817824972428
"815",-15.1700123665565
"816",-6.30111222548617
"817",-5.81870040058676
"818",25.0314238804186
"819",-4.68031431817967
"820",-9.63304211709234
"821",-6.25158253282515
"822",-5.34476634747556
"823",-0.426365454962077
"824",-42032.9780782814
"825",-9521.18312052366
"826",-8404.8334840338
"827",-9315.49002286241
"828",-5056.31464874094
"829",-13805.9380902494
"830",-9.29394935274704
"831",-9.85215698980623
"832",-2.67988666545186
"833",-10.7281132628905
"834",-14.1893569536993
"835",-14.1893569536993
"836",-8.25401670947878
"837",-13.0808700824115
"838",-13.2244762037032
"839",491.23531321788
"840",-7.79850233207495
"841",470.393884970985
"842",-15.1758267199082
"843",-10.7281132623253
"844",-297.346888740888
"845",-780.645020093732
"846",-720.990587544112
"847",-328.699144541429
"848",-480.506822264641
"849",-142.272882554163
"850",-776.98221538648
"851",-961.660147161142
"852",-337.10726963073
"853",-701.439737146768
"854",-841.323918295469
"855",-14.1456113038543
"856",-16.1794884886241
"857",-4.1843906861999
"858",14.8205806222227
"859",-2.19188018083158
"860",-3.8689973520322
"861",-16.1794936472322
"862",-9.07791973263853
"863",-12.2122005987747
"864",-15.1700691396515
"865",18.6864827252097
"866",-92.791016054675
"867",-99.5461641870522
"868",-13829.0049719623
"869",-95.5066328233315
"870",-82.3574143265695
"871",-6860.35206856967
"872",-4015.50037300544
"873",-3416.49533847986
"874",-4713.77211593643
"875",-764.863470973248
"876",-605.685413718224
"877",-378.918311190158
"878",-359.466772911153
"879",-11033.9906352834
"880",-898.990635283108
"881",-674.495315686359
"882",-499.495333748295
"883",-18010.8082338333
"884",-3338.60725731976
"885",-10018.3933800053
"886",-7711.71309273379
"887",-409.474415044068
"888",-10065.495334393
"889",-808.830625704937
"890",-801.19366530573
"891",-9894.99354914345
"892",-8190.58816032157
"893",-304.814359955413
"894",-584.495315281302
"895",-179920.837739171
"896",-7143.47848962271
"897",-635.522636735206
"898",-636.495346395591
"899",-1910.4953292333
"900",-2267.07990556576
"901",-999.944299963398
"902",-743.495325602492
"903",-1559.22235117534
"904",-1761.00499104149
"905",-844.495321087148
"906",-1979.50620014195
"907",-1446.77926341373
"908",-1513.99064431271
"909",-1493.49532237714
"910",-1615.49532173209
"911",-1603.25351382405
"912",-1620.49532495835
"913",-884.495332458594
"914",-611.91162203867
"915",-2065.6630147226
"916",-1425.98118910953
"917",-1812.16034469292
"918",-1111.93552837351
"919",-1534.74900456647
"920",-1805.47157973913
"921",-1961.49533116872
"922",-1671.57731556299
"923",-49390.7789743114
"924",-14692.9906133498
"925",-3496.28049938935
"926",-14796.4952776234
"927",-14307.4783197859
"928",-5568.99061076935
"929",-7443.47348106116
"930",-6414.0837009163
"931",-6703.51305592236
"932",-5495.48429260341
"933",-4499.96088411953
"934",-392.021233567486
"935",-794.495307300637
"936",-382.24577375588
"937",-598.369161467865
"938",-934.495299559282
"939",-296.993480807251
"940",-110.659725767587
"941",-1067.51629877674
"942",-485.990588353497
"943",-455.495293107554
"944",-12.1939818817387
"945",56.8955760745042
"946",-682.495289452666
"947",-457.253407560696
"948",-709.004920810883
"949",-838.990571143239
"950",-505.004904721395
"951",80.0544348168782
"952",116.802529713478
"953",-4.90334253882627
"954",-12.8036622234444
"955",-6.96091218107483
"956",-14.2509762844547
"957",-15.7220078499253
"958",-6.23111033788986
"959",14.526029019066
"960",-3.00364678575761
"961",-14.2078853586513
"962",-15.7219633347086
"963",-14.2164686122826
"964",1.49772824481026
"965",-15.7219763331777
"966",-15.7219780630722
"967",-1.36675972808954
"968",-0.652950022324093
"969",29.2544644250058
"970",-14.2508252752489
"971",67.3250484972157
"972",730.374981547398
"973",-3638.61704303231
"974",355.355807701553
"975",-874.31524860871
"976",-959.495298912901
"977",-368.290616910998
"978",-10416.614415357
"979",-8368.49528237987
"980",-17412.2534022003
"981",-1198.01140948703
"982",-1199.49528237959
"983",-287.684601150962
"984",-2997.08218742691
"985",-959.495286251999
"986",-14.2508274699479
"987",-3.1500451523642
"988",-14.2077963276125
"989",-0.904446116007037
"990",-0.180828378657914
"991",46.0943580428501
"992",1.52675074495272
"993",-5.90234095341629
"994",-0.83015157701551
"995",0.530072701008887
"996",7.90767403977911
"997",-41916.4558560591
"998",-9112.21356967437
"999",-8368.67244827292
"1000",-9289.65946730686
"1001",-5039.91363977807
"1002",-13767.668645805
"1003",-5.39370180689833
"1004",-6.23101326248712
"1005",4.52739222404444
"1006",-7.5449476721135
"1007",-12.7368132083268
"1008",-12.7368132083268
"1009",-3.83380284199595
"1010",-11.074082901395
"1011",-11.2894920833326
"1012",745.400192049042
"1013",-3.15053127589021
"1014",714.138049678699
"1015",-14.2165178576402
"1016",-7.54494767126575
"1017",-295.186999777999
"1018",-778.478353427065
"1019",-718.990587544112
"1020",-327.132050145477
"1021",-478.253411132321
"1022",-137.992657164578
"1023",-773.306656413053
"1024",-958.993480494476
"1025",-264.327571112762
"1026",-699.495292702323
"1027",-838.990584962135
"1028",-12.6711947335593
"1029",-15.7220105107139
"1030",2.27063619292238
"1031",30.7780931555563
"1032",5.25940195097485
"1033",2.74372619417393
"1034",-15.7220182486261
"1035",-5.06965737673558
"1036",-9.77107867593981
"1037",-14.2078814872551
"1038",36.5769463100367
"1039",-89.6123048823772
"1040",-99.2683864092744
"1041",-13866.4266105913
"1042",-93.3007130339618
"1043",-75.7695048063425
"1044",-6506.88238772253
"1045",-4025.15907934421
"1046",-3425.48234362638
"1047",-4720.65534298397
"1048",-762.395739075442
"1049",-554.180551624298
"1050",-348.357748253544
"1051",-357.977848607435
"1052",-11063.6340483445
"1053",-900.481270566216
"1054",-675.865631372717
"1055",-500.37955638548
"1056",-17848.3443117777
"1057",-3343.50062575063
"1058",-9989.96132741093
"1059",-7703.92896324536
"1060",-386.417738577276
"1061",-10092.951779897
"1062",-805.470417136625
"1063",-796.75822040764
"1064",-9921.47598717579
"1065",-7804.56754709542
"1066",-227.765442903514
"1067",-585.615630562603
"1068",-180212.036589453
"1069",-7161.80420146764
"1070",-635.814717914857
"1071",-637.760137235626
"1072",-1915.29899179993
"1073",-2257.87271482162
"1074",-667.246103654901
"1075",-745.05731787165
"1076",-1559.78636901734
"1077",-1764.90442652742
"1078",-846.337864396518
"1079",-1970.98234093
"1080",-1447.58630460524
"1081",-1517.18962195874
"1082",-1497.14064475428
"1083",-1619.47953235307
"1084",-1605.96536098143
"1085",-1624.49342769448
"1086",-886.448998250521
"1087",-592.648829384893
"1088",-2048.31735296347
"1089",-1379.42491881271
"1090",-1789.08231144241
"1091",-1107.1732970906
"1092",-1536.76745357738
"1093",-1807.96538170047
"1094",-1966.44066233745
"1095",-1671.81018668153
"1096",-49524.7635041784
"1097",-14732.7978933662
"1098",-3503.28044322314
"1099",-14837.0933330246
"1100",-14345.703861794
"1101",-5583.45344376093
"1102",-7415.76009848521
"1103",-6425.00351294371
"1104",-6713.67055628917
"1105",-5493.2824740957
"1106",-4496.46621268351
"1107",-390.632015127018
"1108",-796.198947934608
"1109",-363.18510574858
"1110",-591.351474549746
"1111",-936.587821340786
"1112",-296.81473939228
"1113",-107.994449171598
"1114",-1068.00481977571
"1115",-486.333954484771
"1116",-456.257252881775
"1117",122.172838972497
"1118",193.175582914154
"1119",-683.887801127554
"1120",-456.781815121391
"1121",-709.982063843989
"1122",-840.314475619812
"1123",-505.415364998345
"1124",112.437394570652
"1125",161.434854432785
"1126",-0.839641903620215
"1127",-11.3734014831111
"1128",-3.58306809328496
"1129",-13.3031535644581
"1130",-15.2645289850856
"1131",-2.60999896903833
"1132",25.0661868402362
"1133",1.693285767138
"1134",-13.2456989967202
"1135",-15.2644696314633
"1136",-13.2571433348954
"1137",7.6951191412285
"1138",-15.2644869627555
"1139",-15.2644892692814
"1140",3.87580184402876
"1141",4.82754811838269
"1142",44.7041007148226
"1143",-13.3029522188505
"1144",95.4648794777691
"1145",979.531456878012
"1146",-3642.35908606462
"1147",479.505891750219
"1148",-864.086998144947
"1149",-961.657264492468
"1150",-249.720822547997
"1151",-10443.1704973808
"1152",-8391.23778698197
"1153",-17458.8790266229
"1154",-1199.35615230739
"1155",-1202.32389809251
"1156",-283.023912645727
"1157",-3002.49770818715
"1158",-961.657239170664
"1159",-13.3029551451157
"1160",1.49808794499588
"1161",-13.2455802886685
"1162",4.4922199934721
"1163",5.45704364327093
"1164",67.1572922052816
"1165",7.73381580808511
"1166",-2.17163978974024
"1167",4.59127937879413
"1168",6.40491174949333
"1169",16.2417135345203
"1170",-42001.4339343405
"1171",-8703.24401882509
"1172",-8334.96681736713
"1173",-9306.14949016927
"1174",-5023.51263081521
"1175",-13796.6067360544
"1176",-1.49345426104963
"1177",-2.60986953516801
"1178",11.7346711135407
"1179",-4.36178208133652
"1180",-11.2842694629543
"1181",-11.2842694629543
