"","stores_remain"
"778",3370.9861014571
"779",-4090.08841441055
"780",-325.061736419337
"781",-318.809107393858
"782",-3548.58522409961
"783",-1015.55551375523
"784",-1032.52253099512
"785",354.987506972092
"786",-2226.5401956059
"787",108059.94838794
"788",6754.0124340738
"789",1810.97707146838
"790",-45624.265901129
"791",-25834.2043700275
"792",-3459.93134778827
"793",-11941.78416915
"794",-8863.01252314679
"795",-3984.68394746373
"796",20.6501383630435
"797",-28423.6812051356
"798",341.198908333803
"799",-492.279784160554
"800",-33343.6858523395
"801",-147.250182923128
"802",-339.380386360337
"803",67128.221305086
"804",-21352.6746351774
"805",-232624.967172924
"806",774.987788483041
"807",-538.818922616268
"808",-105.024584812708
"809",-912.963571562767
"810",-325.050487139132
"811",-318.796991306568
"812",-589.216011091024
"813",-318.798100339298
"814",-318.804753869747
"815",-12113.8611141836
"816",-318.806665003759
"817",-646.435044427864
"818",-105.031615617151
"819",-325.063986351785
"820",-325.065111276895
"821",15505.9143076634
"822",-809.28494786721
"823",-325.07298601153
"824",-105.036678014646
"825",-751.946317350951
"826",-318.821194454866
"827",-855.753741387532
"828",-3485.00033324669
"829",-2703.0311637759
"830",-325.077486145099
"831",2514.99143334898
"832",25235.8141532096
"833",-29947.8598225763
"834",-6789.95060051521
"835",-105.034146765818
"836",-318.814540078466
"837",-1059.81492460779
"838",-1059.81492460779
"839",-105.035272112551
"840",-318.816759187492
"841",-809.28494786721
"842",3741.97480098642
"843",-105.038928227611
"844",6324.98413285119
"845",24868.1587700083
"846",80229.9771021401
"847",20695.9871211195
"848",-105.039772005193
"849",-325.078611108108
"850",-105.039209128122
"851",-5500.59674131957
"852",980.969611546273
"853",8994.07318626841
"854",15706.9554217418
"855",8924.48300527601
"856",556.109234651985
"857",-32290.57845562
"858",2536.96109765731
"859",-54832.2862479309
"860",33637.8885118513
"861",-39706.6294558036
"862",17395.1584885397
"863",3368.96762532368
"864",-4128.66720720331
"865",-329.099000056212
"866",-322.789007461692
"867",-3582.1960977152
"868",-1064.53308727592
"869",-1047.73833403178
"870",352.969043733304
"871",-2250.1323074922
"872",108055.911217187
"873",6540.18686007448
"874",1806.94016386718
"875",-46062.7178818733
"876",-26073.8576211287
"877",-3494.74723171294
"878",-12053.8097119863
"879",-8997.1686013408
"880",-4084.94710294505
"881",14.5643598159155
"882",-28691.439748302
"883",337.173210245122
"884",-501.383268418908
"885",-33652.2334289664
"886",-153.711193775634
"887",-345.466444950799
"888",67124.2416840318
"889",-21552.2037602708
"890",-234770.40723873
"891",772.969327826922
"892",-544.817261355867
"893",-107.043158985302
"894",-922.394430017471
"895",-329.087647571601
"896",-322.776780217638
"897",-595.676708440483
"898",-322.77789942498
"899",-322.784613996993
"900",-12226.0525005523
"901",-322.786542664344
"902",-653.420687037294
"903",-107.050254292538
"904",-329.101270630242
"905",-329.102405875766
"906",15449.6015948897
"907",-817.76462628801
"908",-329.110352855672
"909",-107.055363134046
"910",-759.899953289951
"911",-322.801205413168
"912",-864.659739014941
"913",-3518.02785923978
"914",-2728.88466069127
"915",-329.114894274871
"916",2512.973006132
"917",24981.1152004868
"918",-30383.3080778293
"919",-6888.83088125388
"920",-107.052808662752
"921",-322.794489987443
"922",-1070.59304318217
"923",-1070.59304318217
"924",-107.053944333767
"925",-322.796729455267
"926",-817.76462628801
"927",3737.93787255511
"928",-107.057633991167
"929",6322.96563865716
"930",24671.8574743203
"931",80227.9585434442
"932",20693.9686543408
"933",-107.058485509828
"934",-329.116029558641
"935",-107.057917468746
"936",-6058.18306792548
"937",978.446538950208
"938",8947.48310883964
"939",15704.432187898
"940",8869.15894851778
"941",535.701385045758
"942",-32722.1191198884
"943",2534.4379283125
"944",-55464.9713189301
"945",33632.8417903951
"946",-40531.6706996195
"947",17374.0580168186
"948",3366.44453015691
"949",-4176.89069819426
"950",-334.145579602305
"951",-327.763882546484
"952",-3624.20968973469
"953",-1125.75505417679
"954",-1066.75808782759
"955",350.445964684819
"956",-2279.62244735006
"957",108050.864753746
"958",6272.90489257532
"959",1801.89402936567
"960",-46610.7828578036
"961",-26373.4241850051
"962",-3538.26708661877
"963",-12193.8416405316
"964",-9164.86369908331
"965",-4210.2760472967
"966",6.95713663200541
