"","site","year","20","30","40","70","total_basin_area","total_basin_20","total_basin_30","total_basin_40","total_basin_70","percent_20_treated","untreated_20","percent_30_treated","untreated_30","percent_40_treated","untreated_40","percent_70_treated","untreated_70"
"19","sb","2014",10500.656617851,636.641505803913,NA,NA,36455509.7499974,1124462.30726578,1783931.46476133,30345263.3146833,3201852.66328704,0.933838026406077,1113961.65064793,0.0356875540557321,1783294.82325553,NA,NA,NA,3191352.00666919
"20","sb","2013",11137.2981236456,NA,NA,NA,36455509.7500116,1314472.9076932,1394683.50670478,29916686.8347401,3829666.50087354,0.847282439863345,1303335.60956955,NA,NA,NA,NA,NA,3818529.20274989
"21","sb","2012",11137.2981236456,NA,NA,NA,36455509.750019,685047.572464109,5561.28028324712,30776582.9552645,4988317.94200709,1.62577002989513,673910.274340463,NA,NA,NA,NA,NA,4977180.64388344
"22","sb","2011",11136.255549503,1.042574146064,NA,NA,36455509.7500051,437291.357964362,2195679.54138707,30403320.1997095,3419218.65094417,2.54664432458567,426155.102414859,0.0000474829831226362,2195678.49881292,NA,NA,NA,3408082.39539467
"23","sb","2010",11137.2981236456,NA,NA,NA,36455509.7500107,1052714.87753184,39575.1803369466,30727057.0837542,4636162.60838776,1.05795960153596,1041577.57940819,NA,NA,NA,NA,NA,4625025.31026411
"24","tr104","2019",286486.793310087,15783.4475607123,0.223934908761294,41237.7448171926,12447556.8145626,5787290.04834515,168095.48702686,3377855.98969344,3114315.28949712,4.95027536060693,5500803.25503506,9.38957246257912,152312.039466148,0.00000662949839911964,3377855.76575853,1.32413519454067,2827828.49618703
"25","tr104","2018",324089.987849908,2267.1146088196,NA,17151.1071641494,12447556.8145564,7502970.11152553,53931.5014375592,3183000.250192,1707654.95140135,4.31948925602228,7178880.12367562,4.20369273687738,51664.3868287396,NA,NA,1.00436608403089,1383564.96355144
"26","tr104","2017",201519.234067316,105781.920594584,NA,36207.0549610313,12447556.8145602,4988017.49015812,1506426.39634875,2731437.14078473,3221675.78726862,4.0400667091672,4786498.2560908,7.02204374876702,1400644.47575417,NA,NA,1.12385781040147,3020156.5532013
"27","tr104","2016",279388.516251938,27697.2723045503,NA,36422.4210666443,12447556.8145633,5760120.71254285,428194.892911455,2134995.81862066,4124245.39048832,4.85039342393572,5480732.19629091,6.46837988099913,400497.620606905,NA,NA,0.88312933926397,3844856.87423638
"28","tr104","2015",298033.174344893,22347.9947012477,NA,23127.0405768706,12447556.8145653,5948502.71692841,829072.896697224,2606510.06347594,3063471.13746375,5.01022170666145,5650469.54258352,2.69554037893114,806724.901995976,NA,NA,0.754929279210299,2765437.96311886
"29","tr104","2014",166378.157060397,139850.036647325,555.355345487827,36724.6605693245,12447556.8145709,3780746.75435346,2416978.93328936,3540220.99139843,2709610.1355296,4.40066917650107,3614368.59729306,5.78615041782752,2277128.89664203,0.015687024816732,3539665.63605294,1.35534850891553,2543231.9784692
"30","tr104","2013",303138.723241701,3343.9539196188,NA,37025.5324610292,12447556.8145621,6351974.36398898,109980.43031283,2324775.63019236,3660826.39006789,4.77235432435424,6048835.64074728,3.04049903251624,106636.476393211,NA,NA,1.01139820674049,3357687.66682619
"31","tr104","2012",302499.331512001,247.547984620556,NA,40761.3301258604,12447556.8145537,5815840.28844528,206521.117927247,2347873.14221371,4077322.26596747,5.20130052596178,5513340.95693328,0.119865700469316,206273.569942626,NA,NA,0.999708324899565,3774822.93445547
"32","tr104","2011",195046.376685817,92149.6435095839,NA,14307.765186668,12447556.8145583,3612903.3474791,3375447.86077675,2677871.10226095,2781334.50404153,5.39860488717227,3417856.97079328,2.72999753841195,3283298.21726717,NA,NA,0.514420871199689,2586288.12735571
"33","tr104","2010",284161.454240851,4882.52056453451,NA,12459.8105763186,12447556.8145646,6316280.14070567,245147.182916724,2813527.07662075,3072602.41432145,4.49887351274296,6032118.68646482,1.99166904813795,240264.662352189,NA,NA,0.405513271689278,2788440.9600806
"34","tr109","2019",766054.250942315,8799.11599160025,611.156121521723,104876.707634249,9321767.87623893,5998039.70824111,174759.415384677,1389300.92421897,1759667.82839417,12.7717435729841,5231985.45729879,5.03498822780553,165960.299393077,0.0439901903804821,1388689.76809745,5.96002870211915,993613.577451855
"35","tr109","2018",796560.303328226,29906.8720109239,NA,53874.0553509254,9321767.87622815,6697906.33903143,482655.159693315,1251301.09677251,889905.280730895,11.8926760544014,5901346.0357032,6.19632286328963,452748.287682391,NA,NA,6.05390894036247,93344.9774026694
"36","tr109","2017",590016.120044363,83225.2230752418,22.1596009498608,106102.66689401,9321767.87623852,5087759.83450413,1304019.34294331,1136990.54879848,1792998.14999259,11.5967761694056,4497743.71445977,6.38220771230231,1220794.11986807,0.0019489696702649,1136968.38919753,5.91761162131978,1202982.02994823
"37","tr109","2016",564132.625189128,100419.911708706,NA,114813.632716659,9321767.87623454,4415352.82541084,1892158.26863005,716896.503808515,2297360.27838513,12.7766148594623,3851220.20022171,5.30716237502749,1791738.35692134,NA,NA,4.9976328831351,1733227.653196
"38","tr109","2015",482847.674607497,50279.2788908213,74.5399967828998,52683.4839672118,9321767.87623669,5148931.34071646,1584451.99651306,874272.09950836,1714112.43949881,9.37762892251561,4666083.66610896,3.17329139673982,1534172.71762224,0.00852594939548189,874197.559511577,3.07351389285851,1231264.76489131
"39","tr109","2014",97127.4248229483,28179.8697027107,NA,27320.7140769637,9321767.87624423,3819888.72092953,2767018.81302696,590037.392998835,2144822.94928891,2.54267681387623,3722761.29610658,1.018419880994,2738838.94332425,NA,NA,1.27379810468839,2047695.52446596
"40","tr109","2013",3987.42660016194,NA,NA,4580.37124594767,9321767.87623774,3659507.03089268,2624773.02420705,948073.629259651,2089414.19187836,0.108960758006503,3655519.60429252,NA,NA,NA,NA,0.219217963759974,2085426.7652782
"41","tr109","2012",3098.8928775005,NA,NA,5468.90496859606,9321767.87622855,2599816.89429661,3773126.92558833,820160.771287835,2128663.28505577,0.119196582047711,2596718.00141911,NA,NA,NA,NA,0.256917334319165,2125564.39217827
"42","tr109","2011",663.089972008951,7134.61525448458,NA,770.092619612813,9321767.8762293,1982913.86110948,4447979.86794781,1551356.63967703,1339517.50749497,0.0334401803837278,1982250.77113747,0.160401248798285,4440845.25269333,NA,NA,0.0574902989549545,1338854.41752296
"43","tr109","2010",2131.25247361723,NA,NA,6436.54537248988,9321767.87623178,1979669.84503461,1466128.46059652,2764732.75231564,3111236.81828502,0.107656965072374,1977538.59256099,NA,NA,NA,NA,0.206880599209347,3109105.5658114
