"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"22","242572.13",15522,"FSU","OTH","795","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-MCG-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244532.77604,571230.261006,21,"KR","10/25/2016 12:00:00 AM +0000",100005258,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",84.8805148322135,0,368.429692575242,16849.5135991722,"2019","tr109",0
"23","242572",15551,"INFB","ITRN","R15","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244242.37931,570912.086774,21,"KR","10/25/2016 12:00:00 AM +0000",100005259,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574756","Infiltration Trench, Buried by Design",0,0,0,5521.2782773776,"2019","tr109",0
"24","242572.02",15552,"INFB","ITRN","R16","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244331.71969,571003.475699,21,"KR","10/25/2016 12:00:00 AM +0000",100005260,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574756","Infiltration Trench, Buried by Design",2552.65679916739,0,184.21478290204,61588.9629306179,"2019","tr109",0
"25","242572.03",15553,"INFB","ITRN","R17","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244532.42926,571077.373189,21,"KR","10/25/2016 12:00:00 AM +0000",100005261,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582040","Infiltration Trench, Buried by Design",1076.28738213878,0,552.644524188247,36603.7436176073,"2019","tr109",0
"26","242572.04",15554,"INFB","ITRN","R18","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244578.06729,571366.457256,21,"KR","10/25/2016 12:00:00 AM +0000",100005262,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03581626","Infiltration Trench, Buried by Design",0,0,0,1813.29083553702,"2019","tr109",0
"27","242572.07",15255,"AQSW","XOGS","PT18","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244276.5551,570927.968632,21,"KR","10/25/2016 12:00:00 AM +0000",100005247,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574767","Aquaswirl",3468.21171246376,0,324.986033676192,100224.184017027,"2019","tr109",0
"28","243360",22035,"AQSW","XOGS","PT-21","UG","Greenway Village at Clarksburg","Ridge Rd","SWM-RESID-DEP",216454,"03/07/2006 12:00:00 AM +0000","12/14/2007 12:00:00 AM +0000",NA,NA,NA,1244899.62964,570849.340508,21,"MT","09/16/2016 12:00:00 AM +0000",100011625,"201363","Ridge Rd",NA,NA,NA,NA,"I","INSP-REG03","03582255","Aquaswirl",5975.53626440465,0,0,1381.0682402309,"2019","tr109",0
"29","243360.02",22030,"STFIL","FUND","STFIL 11 O","UG","Greenway Village at Clarksburg","Ridge Rd","SWM-RESID-DEP",216454,"03/07/2006 12:00:00 AM +0000","12/14/2007 12:00:00 AM +0000",NA,NA,NA,1244837.26001,570810.950821,21,"MT","09/16/2016 12:00:00 AM +0000",100011626,"201363","Ridge Rd",NA,NA,NA,NA,"I","INSP-REG03","03582255","Stormfilter",895.605992055964,0,0,315.587349415757,"2019","tr109",0
"30","242572.17",22052,"PDQN","XDPD","SWM POND #11","AG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"08/21/2007 12:00:00 AM +0000","11/19/2009 12:00:00 AM +0000",NA,NA,"Duplicate asset",1243738.80027,569761.238026,21,"JL","09/15/2017 12:00:00 AM +0000",100011639,"201363","Little Seneca Pkwy",NA,NA,NA,NA,"D",NA,"03694320","Pond-dry",447.525546863675,0,0,760.262131385505,"2019","tr109",0
"31","338951.09",22527,"UG","OTH","UGWQ # 11D","UG","GREENWAY VILLAGE","Little Seneca @ Meadowmist","SWM-RESID-DEP",240346,"08/14/2013 12:00:00 AM +0000","06/17/2015 12:00:00 AM +0000",NA,NA,NA,1243496.20266,569833.256254,21,"MT","12/29/2016 12:00:00 AM +0000",100011962,NA,"Little Seneca @ Meadowmist",NA,NA,NA,NA,"I","INSP-REG03","03694320","Underground detention",0,0,0,1211.23765996192,"2019","tr109",0
