"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"166",111.037878044446
"167",42.9880348322292
"168",36.2795661474268
"169",-12.9624190333734
"170",15.4438766250014
"171",2.90675316045682
"172",-8.92472100305061
"173",126.501486456394
"174",-72.9726625049743
"175",-98.1767235314691
"176",-13858.0218079419
"177",-70.4734069720076
"178",-17.8895302017199
"179",-3394.67771872315
"180",-4010.16280939858
"181",-3420.43572842496
"182",-4658.37650234829
"183",-714.92055055966
"184",-114.841654872894
"185",-86.9732447606325
"186",-342.867091644611
"187",-11053.5404011782
"188",-890.387623397298
"189",-670.818788236305
"190",-495.332893868432
"191",-15884.3329353333
"192",-3299.5731989482
"193",-9434.86518668782
"194",-7411.05989058325
"195",-184.775437954052
"196",-10087.9051238265
"197",-771.572502819747
"198",-732.02466122292
"199",-9911.41147861027
"200",-4380.67764128625
"201",407.873115733903
"202",-580.568783375621
"203",-178120.413981163
"204",-7146.58909769474
"205",-621.041085266922
"206",-632.713601191532
"207",-1910.25228413289
"208",-2160.69462226303
"209",2066.09224459085
"210",-740.010573896567
"211",-1522.00988077069
"212",-1754.95433694233
"213",-841.291075267999
"214",-1830.7859116789
"215",-1415.37893874256
"216",-1507.0960650858
"217",-1492.09386852566
"218",-1614.43274967399
"219",-1588.50049922192
"220",-1619.44667727796
"221",-881.402322836456
"222",-414.49648815468
"223",-1833.50205889041
"224",-950.749756438136
"225",-1536.89415654944
"226",-1028.63100238293
"227",-1514.25749924208
"228",-1782.68117909173
"229",-1961.39397402469
"230",-1627.58334231142
"231",-49492.5532472925
"232",-14722.7040268637
"233",-3476.08543711663
"234",-14832.0461092588
"235",-14330.4870596531
"236",-5573.35955145448
"237",-7070.89392424462
"238",-6355.84052210673
"239",-6628.80111551281
"240",-5318.12540012979
"241",-4336.07505387882
"242",-365.290489825499
"243",-791.152020940979
"244",-194.919206134629
"245",-512.965534760348
"246",-931.540816933608
"247",-286.74954746479
"248",-82.4111252925711
